year,journal,count
2023,A Beginner's Guide to Introduce Artificial Intelligence in Teaching and Learning,2
2023,BMC Public Health,2
2023,Subjectivity,2
2023,Asia Pacific Education Review,2
2023,"Canadian Journal of Science, Mathematics and Technology Education",2
2023,ICGG 2022 - Proceedings of the 20th International Conference on Geometry and Graphics,2
2023,Geographische Bildung in digitalen Kulturen,2
2023,SN Social Sciences,2
2023,Review Journal of Autism and Developmental Disorders,2
2023,Towards a Collaborative Society Through Creative Learning,2
2023,Data Science in Applications,2
2023,Soft Computing for Security Applications,2
2023,"Artificial Intelligence, Learning and Computation in Economics and Finance",2
2023,Open and Inclusive Educational Practice in the Digital World,2
2023,"Design, Learning, and Innovation",2
2023,Blended Learning : Lessons Learned and Ways Forward,2
2023,Information and Communication Technology for Competitive Strategies (ICTCS 2021),2
2023,Design Science Research for a New Society: Society 5.0,2
2023,Proceedings of the 18th Latin American Conference on Learning Technologies (LACLO 2023),2
2023,ICT Infrastructure and Computing,2
2023,Guide to Teaching Data Science,2
2023,Learning and Collaboration Technologies,2
2023,Mathematics Curriculum Reforms Around the World,2
2023,Lehr-Lern-Labore und Digitalisierung,2
2023,Educational Psychology Review,2
2023,Trends in Artificial Intelligence and Computer Engineering,2
2023,Mathematics Education Research Journal,2
2023,Künstliche Intelligenz in der Bildung,2
2023,Human-Computer Interaction,2
2023,Social Computing and Social Media,2
2023,GeroScience,2
2023,Instructional Science,2
2023,Science & Education,2
2023,Proceedings of the 3rd International and Interdisciplinary Conference on Image and Imagination,2
2023,Journal of Intelligent Manufacturing,2
2023,Proceedings of Data Analytics and Management,2
2023,Smart Learning Ecosystems as Engines of the Green and Digital Transition,2
2023,Synthesis Lectures on Mathematics & Statistics,2
2023,Design Thinking Research,2
2023,Physicochemical Aspects of Metal-Organic Frameworks,2
2023,Nature Neuroscience,2
2023,Scientific Data,2
2023,History and Philosophy of the Life Sciences,2
2023,Journal of Archaeological Method and Theory,2
2023,"Artificial Intelligence, Social Harms and Human Rights",2
2023,Iran Journal of Computer Science,2
2023,International Journal of Anthropology and Ethnology,2
2023,Smart Education Best Practices in Chinese Schools,2
2023,"Architecture, Structures and Construction",2
2023,Technological Innovations in Education,2
2023,Archives of Computational Methods in Engineering,2
2023,Cognitive Computation,2
2023,"Cognitive, Affective, & Behavioral Neuroscience",2
2023,Digital Writing Technologies in Higher Education,2
2023,"Brain, Decision Making and Mental Health",2
2023,Research on E-Learning and ICT in Education,2
2023,Phenomenology and the Cognitive Sciences,2
2023,Visual Intelligence,2
2023,EPJ Data Science,2
2023,International Journal of Computer-Supported Collaborative Learning,2
2023,Journal of Molecular Modeling,2
2023,npj Mental Health Research,2
2023,End-User Development,2
2023,Nature Reviews Psychology,2
2023,International Journal of Digital Humanities,2
2023,Computational Techniques for Intelligence Analysis,2
2023,Nature Computational Science,2
2023,"Lecture Notes in Data Engineering, Computational Intelligence, and Decision Making",2
2023,Philosophy & Technology,2
2023,Drug Discovery and Evaluation: Safety and Pharmacokinetic Assays,2
2023,Behavior Research Methods,2
2023,"Machine Learning, Optimization, and Data Science",2
2023,Life and Mind,2
2023,"Design, User Experience, and Usability",2
2023,Physical Principles of Electro-Mechano-Biology,2
2023,Ab initio Calculation Tutorial,2
2023,"Methodologies and Intelligent Systems for Technology Enhanced Learning, Workshops - 13th International Conference",2
2023,Technological Imagination in the Green and Digital Transition,2
2023,Mathematical Cognition and Understanding,2
2023,Electronic Markets,2
2023,Entrepreneurship Education,2
2023,Current Psychiatry Reports,2
2023,International Cybersecurity Law Review,2
2023,Annals of Biomedical Engineering,2
2023,Global Journal of Flexible Systems Management,2
2023,Studies in Computational Intelligence,2
2023,Medical Science Educator,2
2023,Scientific and Technical Information Processing,2
2023,AI and Ethics,2
2023,Fungal Machines,2
2023,Ethics and Information Technology,1
2023,BMC Medical Education,1
2023,Postdigital Science and Education,1
2023,Universal Access in the Information Society,1
2023,Soft Computing,1
2023,Work and AI 2030,1
2023,Journal of Academic Ethics,1
2023,Design Computing and Cognition’22,1
2023,Applied Intelligence,1
2023,Handbook of Computational Neurodegeneration,1
2023,Electromechanobiology of Cartilage and Osteoarthritis,1
2023,Higher Education Computer Science,1
2023,International Journal of Precision Engineering and Manufacturing,1
2023,npj Digital Medicine,1
2023,Multimedia Tools and Applications,1
2023,Nature Reviews Bioengineering,1
2023,"Digital Technologies and Transformation in Business, Industry and Organizations",1
2023,Responsive and Sustainable Educational Futures,1
2023,Information Management and Big Data,1
2023,Visualization of Time-Oriented Data,1
2024,Education and Information Technologies,133
2024,unknown,35
2024,AI & SOCIETY,35
2024,Journal of Science Education and Technology,30
2024,Humanities and Social Sciences Communications,25
2024,AI and Ethics,22
2024,Integrating Computational Thinking Through Design-Based Learning,19
2024,Educational technology research and development,18
2024,BMC Medical Education,17
2024,Scientific Reports,16
2024,International Journal of Artificial Intelligence in Education,15
2024,Discover Education,15
2024,SN Computer Science,14
2024,International Journal of Educational Technology in Higher Education,13
2024,Postdigital Science and Education,12
2024,Discover Artificial Intelligence,11
2024,International Journal of Technology and Design Education,11
2024,Proceedings of TEEM 2023,11
2024,Medical Science Educator,10
2024,International Journal of Science and Mathematics Education,10
2024,TechTrends,9
2024,Multimedia Tools and Applications,9
2024,Science & Education,8
2024,Early Childhood Education Journal,8
2024,International Journal of STEM Education,8
2024,"Artificial Intelligence in Education. Posters and Late Breaking Results, Workshops and Tutorials, Industry and Innovation Tracks, Practitioners, Doctoral Consortium and Blue Sky",8
2024,"Technology, Knowledge and Learning",8
2024,Current Urology Reports,8
2024,Journal of Computers in Education,7
2024,The Australian Educational Researcher,7
2024,Artificial Intelligence Review,7
2024,Smart Learning Environments,6
2024,AI-generated Content,6
2024,Current Psychology,6
2024,Deep Learning and Visual Artificial Intelligence,6
2024,Innovative Technologies and Learning,6
2024,"Model-Based Reasoning, Abductive Cognition, Creativity",6
2024,Science China Earth Sciences,6
2024,Archives of Computational Methods in Engineering,6
2024,Global Surgical Education - Journal of the Association for Surgical Education,5
2024,Frontiers of Digital Education,5
2024,Journal of Medical Systems,5
2024,Artificial Intelligence for Supporting Human Cognition and Exploratory Learning in the Digital Age,5
2024,The Balancing Problem in the Governance of Artificial Intelligence,5
2024,Intelligent Systems and Applications,5
2024,Coding Architecture,5
2024,"Towards a Hybrid, Flexible and Socially Engaged Higher Education",5
2024,Nature Computational Science,5
2024,Aesthetic Plastic Surgery,5
2024,Journal of Membrane Computing,5
2024,Neurosurgical Review,5
2024,npj Digital Medicine,5
2024,Academic Psychiatry,5
2024,Strahlentherapie und Onkologie,5
2024,European Archives of Oto-Rhino-Laryngology,5
2024,Discover Sustainability,5
2024,Artificial Intelligence in Education,4
2024,Explainable AI for Education: Recent Trends and Challenges,4
2024,Radical Solutions for Artificial Intelligence and Digital Transformation in Education,4
2024,Technology Enhanced Learning for Inclusive and Equitable Quality Education,4
2024,EPJ Data Science,4
2024,Human Arenas,4
2024,Handbook of Digital Resources in Mathematics Education,4
2024,Proceedings of International Conference on Recent Innovations in Computing,4
2024,Digital Experiences in Mathematics Education,4
2024,Information Systems and Technologies,4
2024,Innovation and Technologies for the Digital Transformation of Education,4
2024,"Cognitive, Affective, & Behavioral Neuroscience",4
2024,Nature Human Behaviour,4
2024,npj Systems Biology and Applications,4
2024,Architectural Intelligence,4
2024,Nature Chemical Engineering,4
2024,Journal of Intelligent Manufacturing,4
2024,International Journal of Colorectal Disease,4
2024,Telematics and Computing,4
2024,Advances in Information and Communication,4
2024,Communications Chemistry,4
2024,Insights into Imaging,4
2024,Neural Computing and Applications,4
2024,Frontiers of Information Technology & Electronic Engineering,4
2024,Minds and Machines,4
2024,Current Sexual Health Reports,4
2024,"Proceedings of Fifth International Conference on Computing, Communications, and Cyber-Security",4
2024,Journal of Mechanical Science and Technology,4
2024,Advances in Atmospheric Sciences,4
2024,SN Social Sciences,3
2024,International Journal of Data Science and Analytics,3
2024,Artificial Intelligence in Education: The Power and Dangers of ChatGPT in the Classroom,3
2024,Smart Computing Paradigms: Artificial Intelligence and Network Applications,3
2024,Information Systems Frontiers,3
2024,Advances in Teaching and Learning for Cyber Security Education,3
2024,Information Technology and Systems,3
2024,Monatshefte für Chemie - Chemical Monthly,3
2024,General Aspects of Applying Generative AI in Higher Education,3
2024,International Journal for Educational Integrity,3
2024,"Canadian Journal of Science, Mathematics and Technology Education",3
2024,Journal für Mathematik-Didaktik,3
2024,Generative Intelligence and Intelligent Tutoring Systems,3
2024,"IoT, AI, and ICT for Educational Applications",3
2024,Artificial General Intelligence,3
2024,Engrams,3
2024,Environmental Chemistry Letters,3
2024,"Design Research: The Sociotechnical Aspects of Quality, Creativity, and Innovation",3
2024,Nature Mental Health,3
2024,npj Precision Oncology,3
2024,Theory Informing and Arising from Learning Analytics,3
2024,Creativity in the Age of Digital Reproduction,3
2024,Management Review Quarterly,3
2024,The Journal of Technology Transfer,3
2024,Transformative Marketing,3
2024,Artificial Intelligence Valuation,3
2024,European Journal of Plastic Surgery,3
2024,Artificial Intelligence in Orthopaedic Surgery Made Easy,3
2024,World Journal of Urology,3
2024,Annals of Surgical Oncology,3
2024,BMC Medical Informatics and Decision Making,3
2024,Scientific and Technical Information Processing,3
2024,Epistemic Uncertainty in Artificial Intelligence,3
2024,Development,3
2024,Current Medical Science,3
2024,Nature Medicine,3
2024,Discover Applied Sciences,3
2024,Philosophy & Technology,3
2024,Heart Failure Reviews,3
2024,"Methodologies and Intelligent Systems for Technology Enhanced Learning, 14th International Conference",3
2024,Colour Futures,3
2024,Phenomenology and the Cognitive Sciences,3
2024,BMC Nursing,3
2024,Rheumatology International,3
2024,Computational Geosciences,3
2024,Current Cardiovascular Risk Reports,3
2024,Pharmaceutical Medicine,3
2024,Social Network Analysis and Mining,3
2024,Medical & Biological Engineering & Computing,3
2024,Irish Journal of Medical Science (1971 -),3
2024,Nature Reviews Materials,3
2024,Law and Critique,3
2024,Higher Education,2
2024,Higher Education Learning Methodologies and Technologies Online,2
2024,BMC Psychology,2
2024,Trust and Inclusion in AI-Mediated Education,2
2024,Generative AI and Education,2
2024,Artificial Intelligence in Education: The Intersection of Technology and Pedagogy,2
2024,Smart Trends in Computing and Communications,2
2024,Information Systems Engineering and Management,2
2024,Journal of Religion and Health,2
2024,Breaking Barriers with Generative Intelligence. Using GI to Improve Human Education and Well-Being,2
2024,Smart Technologies for a Sustainable Future,2
2024,International Journal of Computational Intelligence Systems,2
2024,Nature Machine Intelligence,2
2024,Applications of Generative AI,2
2024,Technology in Education. Digital and Intelligent Education,2
2024,Graefe's Archive for Clinical and Experimental Ophthalmology,2
2024,Asian Bioethics Review,2
2024,Evolution: Education and Outreach,2
2024,Journal for STEM Education Research,2
2024,Software Quality Journal,2
2024,Disciplinary and Interdisciplinary Science Education Research,2
2024,Undergraduate Topics in Computer Science,2
2024,Journal of Intelligent & Robotic Systems,2
2024,The Asia-Pacific Education Researcher,2
2024,"Signal and Information Processing, Networking and Computers",2
2024,ICT Education,2
2024,Teaching Mathematics as to be Meaningful – Foregrounding Play and Children’s Perspectives,2
2024,Videogame Sciences and Arts,2
2024,Biosemiotics,2
2024,Computer Science and Educational Informatization,2
2024,Advances in Computer Science and Ubiquitous Computing,2
2024,Chatbot Research and Design,2
2024,Smart Mobile Communication & Artificial Intelligence,2
2024,Proceedings of Ninth International Congress on Information and Communication Technology,2
2024,Proceedings of Data Analytics and Management,2
2024,Computer Science and Education. Teaching and Curriculum,2
2024,Advances in Computing,2
2024,Innovative Computing and Communications,2
2024,Educational Psychology Review,2
2024,"Design, Learning, and Innovation",2
2024,Photonic Artificial Intelligence,2
2024,Augmented and Virtual Reality in Mathematics Education,2
2024,Neohelicon,2
2024,Environmental Management,2
2024,Advances in Visual Informatics,2
2024,Behavior Research Methods,2
2024,Research in Mathematics Education in Australasia 2020–2023,2
2024,Causality for Artificial Intelligence,2
2024,HCI International 2023 – Late Breaking Posters,2
2024,Biomedical Engineering Education,2
2024,Computational Learning Theories,2
2024,Nature Methods,2
2024,Unification of Artificial Intelligence and Psychology,2
2024,MRS Advances,2
2024,"Maritime Autonomous Surface Ships (MASS) - Regulation, Technology, and Policy",2
2024,Safety Causation Analysis in Sociotechnical Systems: Advanced Models and Techniques,2
2024,Neuroethics,2
2024,Biochemical Genetics,2
2024,Studia Logica,2
2024,Psychological Research,2
2024,Metascience,2
2024,The European Physical Journal Plus,2
2024,The Transforming Spatial Organization in the Information Age,2
2024,Synthese,2
2024,Nature Reviews Physics,2
2024,Nature Energy,2
2024,A Primer of Judgment and Decision Making,2
2024,Neuroscience Bulletin,2
2024,Computational and Applied Mathematics,2
2024,"Education, Development and Intervention",2
2024,Technological Innovation for Human-Centric Systems,2
2024,Nature Reviews Neuroscience,2
2024,Biomedical Engineering Letters,2
2024,A Circular Built Environment in the Digital Age,2
2024,Computational Intelligence in Engineering and Project Management,2
2024,Advances in Computational Mathematics for Industrial System Reliability and Maintainability,2
2024,Integrated Management of Water Resources in India: A Computational Approach,2
2024,The Frontier of Education Reform and Development in China,2
2024,International Journal of Digital Humanities,2
2024,Association Analysis Techniques and Applications in Bioinformatics,2
2024,The Arts and Computational Culture: Real and Virtual Worlds,2
2024,The Emergence of Mind,2
2024,Encyclopedia of Educational Innovation,2
2024,All in All (More or Less),2
2024,Severe Combined Immunodeficiency,2
2024,Proceedings of the 2023 International Conference of The Computational Social Science Society of the Americas,2
2024,"Advanced Systems for Environmental Monitoring, IoT and the application of Artificial Intelligence",2
2024,Perspectives on Design and Digital Communication IV,2
2024,Neue Plattformen – neue Öffentlichkeiten,2
2024,Bioinspired Systems for Translational Applications: From Robotics to Social Engineering,2
2024,Medicinal and Aromatic Plants,2
2024,Computational Science – ICCS 2024,2
2024,Nexus Network Journal,2
2024,"Artificial Intelligence, Big Data, IOT and Block Chain in Healthcare: From Concepts to Applications",2
2024,Communications Psychology,2
2024,Computational Intelligence in Internet of Agricultural Things,2
2024,Social Computing and Social Media,2
2024,Natural Language & Linguistic Theory,2
2024,Neurobiology of Interval Timing,2
2024,Machine Learning Approaches in Financial Analytics,2
2024,Interdisciplinary Analyses of Professional Basketball,2
2024,Archaeologies,2
2024,Global Happiness and Humanitarian Assistance,2
2024,Handbook of Cliometrics,2
2024,"The Logic, Philosophy, and History of the Lambda-Calculus",2
2024,Research in Engineering Design,2
2024,Current Treatment Options in Psychiatry,2
2024,Journal of Nephrology,2
2024,BDJ Open,2
2024,Universal Access in the Information Society,2
2024,Journal of Business Ethics,2
2024,ZDM – Mathematics Education,2
2024,Generative AI: Current Trends and Applications,2
2024,"Journal of Industry, Competition and Trade",2
2024,Journal of Computational Social Science,2
2024,Nature Reviews Bioengineering,2
2024,Journal of the Knowledge Economy,2
2024,Pediatric Rheumatology,2
2024,Creative Applications of Artificial Intelligence in Education,2
2024,Proceedings of 2023 7th Chinese Conference on Swarm Intelligence and Cooperative Control,2
2024,Journal of General Internal Medicine,2
2024,BMC Biomedical Engineering,2
2024,Generative Artificial Intelligence,2
2024,Teaching Innovations in Economics,2
2024,Proceedings of 2024 12th China Conference on Command and Control,2
2024,Pediatric Radiology,2
2024,Advanced Intelligent Technologies and Sustainable Society,2
2024,Climate Disaster Preparedness,2
2024,npj Climate Action,2
2024,Place Branding and Public Diplomacy,2
2024,Indian Journal of Orthopaedics,2
2024,Moscow University Computational Mathematics and Cybernetics,2
2024,Frontiers of Engineering Management,2
2024,Artificial Intelligence and Brain Research,2
2024,The American Journal of Psychoanalysis,2
2024,European Geriatric Medicine,2
2024,Strategic Blueprint for Enterprise Analytics,2
2024,Artificial Intelligence and Its Practical Applications in the Digital Economy,2
2024,"Journalism, Digital Media and the Fourth Industrial Revolution",2
2024,Science China Technological Sciences,2
2024,Learning and Collaboration Technologies,2
2024,Congress on Smart Computing Technologies,2
2024,Sustainable Development and Geospatial Technology,2
2024,HMD Praxis der Wirtschaftsinformatik,2
2024,Chemistry Africa,2
2024,The 17th International Conference Interdisciplinarity in Engineering,2
2024,The Economic Impact of Small and Medium-Sized Enterprises,2
2024,Innovative Higher Education,2
2024,"Proceedings of the XI International Scientific Conference Digital Transformation of the Economy: Challenges, Trends and New Opportunities (ISCDTE 2024)",2
2024,Artificial Intelligence-Driven Geographies,2
2024,BMC Nephrology,2
2024,KI - Künstliche Intelligenz,2
2024,La radiologia medica,2
2024,Geoheritage,2
2024,International Journal of Information Technology,2
2024,China Population and Development Studies,2
2024,NanoEthics,2
2024,Immunologic Research,2
2024,Regional Research of Russia,2
2024,The Palgrave Handbook of Everyday Digital Life,2
2024,Multichannel Marketing,2
2024,Digital Business,2
2024,Global Handbook of Inequality,2
2024,Nature Reviews Urology,2
2024,Second Handbook of Academic Integrity,2
2024,"Transfer, Diffusion and Adoption of Next-Generation Digital Technologies",2
2024,Optical Memory and Neural Networks,2
2024,Nature Reviews Cancer,2
2024,JMST Advances,2
2024,Journal of Zhejiang University-SCIENCE B,2
2024,Neuroinformatics,2
2024,International Journal of Computer Assisted Radiology and Surgery,2
2024,Frontiers of Environmental Science & Engineering,2
2024,Digital Society,2
2024,Advances in Gerontology,2
2024,Communications in Computer and Information Science,2
2024,International Journal on Interactive Design and Manufacturing (IJIDeM),2
2024,"Scenarios, Fictions, and Imagined Possibilities in Science, Engineering, and Education",2
2024,Educational Studies in Mathematics,2
2024,npj Health Systems,1
2024,Informatik Spektrum,1
2024,International Journal of Intelligent Robotics and Applications,1
2024,Journal of Robotic Surgery,1
2024,Cognitive Research: Principles and Implications,1
2024,Doklady Mathematics,1
2024,Global Medical Education in Normal and Challenging Times,1
2024,SpringerBriefs in Education,1
2024,New Frontiers in Science in the Era of AI,1
2024,E-Business. New Challenges and Opportunities for Digital-Enabled Intelligent Future,1
2024,SpringerBriefs in Applied Sciences and Technology,1
2024,The AI Revolution: Driving Business Innovation and Research,1
2024,Recent Trends in Artificial Intelligence Towards a Smart World,1
2024,"New Media Pedagogy: Research Trends, Methodological Challenges, and Successful Implementations",1
2024,Indian Journal of Surgical Oncology,1
2024,Applied Geomatics,1
2024,ICT for Intelligent Systems,1
2024,Asia Pacific Journal of Management,1
2024,"Contributions Presented at The International Conference on Computing, Communication, Cybersecurity and AI, July 3–4, 2024, London, UK",1
2024,Economics and Finance Readings,1
2024,Creative Approaches to Technology-Enhanced Learning for the Workplace and Higher Education,1
2024,Information System Design: AI and ML Applications,1
2024,Somnologie,1
2024,British Dental Journal,1
2024,Transforming Healthcare Sector Through Artificial Intelligence and Environmental Sustainability,1
2024,The Technological-Industrial Complex and Education,1
2024,Emerging Technologies for Education,1
2024,Quality & Quantity,1
2024,Group Decision and Negotiation,1
2024,Science and Engineering Ethics,1
2024,International Journal of System Assurance Engineering and Management,1
2024,Surgical and Radiologic Anatomy,1
2024,Higher Education in the Arab World,1
2024,Egyptian Journal of Radiology and Nuclear Medicine,1
2024,The Palgrave Handbook of Crisis Leadership in Higher Education,1
2024,Nature,1
2024,"Application of Big Data, Blockchain, and Internet of Things for Education Informatization",1
2024,Eye,1
2024,Blended Learning. Intelligent Computing in Education,1
2024,The Power of Technology in School Leadership during COVID-19,1
2024,Computing and Machine Learning,1
2024,Cognitive Processing,1
2024,Cognitive Computing for Machine Thinking,1
2024,Network Modeling Analysis in Health Informatics and Bioinformatics,1
2024,Frontiers of Fundamental Physics FFP16,1
2024,The Visual Computer,1
2024,Advances in Information Retrieval,1
2024,"Experimental IR Meets Multilinguality, Multimodality, and Interaction",1
2024,Herz,1
2024,Current Neurology and Neuroscience Reports,1
2024,"Automation 2024: Advances in Automation, Robotics and Measurement Techniques",1
2024,Engineering Applications of Artificial Intelligence,1
2024,Ethics and Information Technology,1
2024,"Digital Human Modeling and Applications in Health, Safety, Ergonomics and Risk Management",1
2024,Computational Neurosurgery,1
2024,European Journal of Medical Research,1
2024,HCI International 2024 Posters,1
2024,Systematic Reviews,1
2024,Current Gastroenterology Reports,1
2024,Molecular Diversity,1
2024,Challenges of the Technological Mind,1
2024,Nature Communications,1
2024,Journal of International Entrepreneurship,1
2024,ATZelectronics worldwide,1
2024,"Mind, Body, and Digital Brains",1
2024,Critical Care,1
2024,Information Management,1
2024,BMC Infectious Diseases,1
2024,Intelligent Systems Design and Applications,1
2024,Physics of Particles and Nuclei,1
2024,Current Landscape Ecology Reports,1
2024,Current Pain and Headache Reports,1
2024,Indian Journal of Surgery,1
2024,Russian Meteorology and Hydrology,1
2024,Pattern Recognition and Image Analysis,1
2024,Current Forestry Reports,1
2024,Sport Entrepreneurial Ecosystems,1
2024,Review of Evolutionary Political Economy,1
2024,DARU Journal of Pharmaceutical Sciences,1
2024,Current Infectious Disease Reports,1
2024,Redefining Education and Development,1
2024,"Blockchain, Artificial Intelligence, and Financial Services",1
2024,Frontiers of Medicine,1
2024,Nature Reviews Electrical Engineering,1
2024,Current Pharmacology Reports,1
2024,Cognitive Computation,1
2024,European Journal of Pediatrics,1
2024,Digital Business and Electronic Commerce,1
